Dep-Prov-Distrito,Cluster KM Eu,Cluster HAC Eu,Cluster DB Pear
"SAN MARTIN, TOCACHE, UCHIZA",1,3,2
"TUMBES, CONTRALMIRANTE VILLAR, CANOAS DE PUNTA SAL",5,5,4
"TUMBES, CONTRALMIRANTE VILLAR, CASITAS",1,3,-1
"TUMBES, CONTRALMIRANTE VILLAR, ZORRITOS",5,0,2
"TUMBES, TUMBES, CORRALES",2,4,2
"TUMBES, TUMBES, LA CRUZ",1,3,2
"TUMBES, TUMBES, PAMPAS DE HOSPITAL",1,3,0
"TUMBES, TUMBES, SAN JACINTO",4,5,3
"TUMBES, TUMBES, SAN JUAN DE LA VIRGEN",1,3,0
"TUMBES, TUMBES, TUMBES",1,3,-1
"TUMBES, ZARUMILLA, AGUAS VERDES",0,0,4
"TUMBES, ZARUMILLA, MATAPALO",0,0,2
"TUMBES, ZARUMILLA, PAPAYAL",5,0,2
"TUMBES, ZARUMILLA, ZARUMILLA",1,3,-1
"UCAYALI, ATALAYA, RAYMONDI",0,0,-1
"UCAYALI, ATALAYA, SEPAHUA",4,1,-1
"UCAYALI, ATALAYA, TAHUANIA",1,3,2
"UCAYALI, ATALAYA, YURUA",1,3,2
"UCAYALI, CORONEL PORTILLO, CALLERIA",5,5,-1
"UCAYALI, CORONEL PORTILLO, CAMPOVERDE",1,3,2
"UCAYALI, CORONEL PORTILLO, IPARIA",1,3,1
"UCAYALI, CORONEL PORTILLO, MANANTAY",5,0,2
"UCAYALI, CORONEL PORTILLO, MASISEA",1,3,1
"UCAYALI, CORONEL PORTILLO, NUEVA REQUENA",5,0,2
"UCAYALI, CORONEL PORTILLO, YARINACOCHA",1,3,0
"UCAYALI, PADRE ABAD, ALEXANDER VON HUMBOLDT",1,3,1
"UCAYALI, PADRE ABAD, CURIMANA",1,3,0
"UCAYALI, PADRE ABAD, IRAZOLA",5,0,-1
"UCAYALI, PADRE ABAD, NESHUYA",4,1,-1
"UCAYALI, PADRE ABAD, PADRE ABAD",1,3,2
"UCAYALI, PURUS, PURUS",1,3,1
